,sig_id
392,KMS002_NOMO1_24H:B08
393,RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.0046
394,TAA001_SHSY5Y_24H:C20
395,LTC008_MDAMB231_24H:BRD-K81418486:10
396,ABY001_H1975_XH:BRD-K81418486:2.5:3
397,ABY001_NCIH1975_XH:BRD-K81418486:10:3
398,RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0137
399,HOG002_A549_24H:BRD-K81418486-001-32-7:0.0045
400,LCP001_MCF10A.WT_12H:N23
401,DOSBIO001_HT29_24H:BRD-K81418486:3.33333
402,DTAK002_DU145_24H:BRD-K81418486:10
403,ABY001_HEPG2_XH:BRD-K81418486:2.5:3
404,HOG001_MCF7_6H:BRD-K81418486-001-32-7:10
405,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:0.078125
406,DEB001_PC3_6H:BRD-K81418486-001-24-4:0.1
407,TAA001_SHSY5Y_24H:N17
408,LTC004_HME1_3H:BRD-K81418486:3.3333
409,PCL001_PC3_24H:BRD-K81418486:10
410,LPROT005_MCF10A_6H:BRD-K81418486:3.16
411,HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.1235
412,TAA001_SHSY5Y_24H:N16
413,DEB001_MCF7_6H:BRD-K81418486-001-24-4:0.2
414,CPD003_MCF7_24H:F22
415,HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.0412
416,LCP001_MCF10A.KRAS.HG_24H:N24
417,HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.0390625
418,RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0015
419,LCP001_MCF10A.PIK3CA.HH_24H:N22
420,DOSBIO001_A375_24H:BRD-K81418486:1.11111
421,RAD001_HCC515_6H:BRD-K81418486-001-18-6:3.3333
422,LTC006_MDAMB231_24H:BRD-K81418486:10
423,LTC004_HME1_3H:BRD-K81418486:0.12346
424,HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.15625
425,RAD001_PC3_6H:BRD-K81418486-001-18-6:0.0137
426,HOG001_A549_6H:BRD-K81418486-001-32-7:0.3704
427,HOG002_MCF7_6H:BRD-K81418486-001-32-7:1.11
428,NMH001_FIBRNPC_24H:BRD-K81418486-001-22-8:10
429,RAD001_MCF7_6H:BRD-K81418486-001-18-6:10
430,DOSBIO001_A375_24H:BRD-K81418486:3.33333
431,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:0.0195312
432,LTC002_HME1_3H:BRD-K81418486:0.37037
433,LTC005_MDAMB231_3H:BRD-K81418486:10
434,DOSBIO002_PC3_24H:BRD-K81418486:0.37037
435,BRAF001_HEK293T_24H:BRD-K81418486-001-15-2:2.5
436,ABY001_SKBR3_XH:BRD-K81418486:2.5:3
437,HOG003_A549_6H:BRD-K81418486-001-32-7:0.013
438,TAA001_SKNSH_24H:C24
439,TAA001_SHSY5Y_24H:C23
440,NMH002_NPC_24H:BRD-K81418486-001-22-8:10
441,DEB001_MCF7_24H:BRD-K81418486-001-24-4:10
442,ABY001_NCIH596_XH:BRD-K81418486:10:24
443,RAD001_MCF7_24H:BRD-K81418486-001-18-6:0.1235
444,HOG003_MCF7_24H:BRD-K81418486-001-32-7:10
445,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.00244141
446,CPD003_MCF7_24H:B04
447,RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.0137
448,LCP001_MCF10A.PIK3CA.HH_24H:N24
449,KMS002_NOMO1_24H:B03
450,BRAF001_A375_24H:BRD-K81418486-001-15-2:0.625
451,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:5
452,HOG003_A549_6H:BRD-K81418486-001-32-7:3.33
453,CEGS001_NPC.215_24H:C21
454,ABY001_NCIH508_XH:BRD-K81418486:0.625:3
455,HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.078125
456,CEGS002_HIMG002_24H:C23
457,RAD001_PC3_6H:BRD-K81418486:10
458,HOG002_A549_24H:BRD-K81418486-001-32-7:0.013
459,CEGS001_NPC.179_24H:C21
460,HOG003_MCF7_6H:BRD-K81418486-001-32-7:1.11
461,NMH002_NEU_6H:BRD-K81418486-001-22-8:10
462,HDAC002_PC3_6H:BRD-K81418486-001-10-3:5
463,CVD001_HUH7_24H:BRD-K81418486:10
464,ABY001_NCIH2073_XH:BRD-K81418486:2.5:24
465,TSAI001_SAD11NPC4_XH:BRD-K81418486:2.5
466,ABY001_A549_XH:BRD-K81418486:0.625:3
467,LTC007_MDAMB231_24H:BRD-K81418486:1.1111
468,HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.1235
469,DOSBIO001_NPC_24H:BRD-K81418486:1.11111
470,ABY001_A375_XH:BRD-K81418486:2.5:24
471,LTC001_HME1_3H:BRD-K81418486:10
472,LTC005_MDAMB231_24H:BRD-K81418486:3.3333
473,HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.0412
474,DOSBIO001_PC3_24H:BRD-K81418486:10
475,POL001_HEPG2_24H:O05
476,CEGS001_NPC.8330_24H:C22
477,CVD001_HUH7_6H:BRD-K81418486:10
478,CVD001_HEPG2_6H:BRD-K81418486:10
479,DOSBIO002_MCF7_24H:BRD-K81418486:0.37037
480,CEGS001_NPC.179_24H:C20
